kx,ky,norm,spectrum
537940654.9016855,0.013325200771836652,537940654.9016855,6.553542056320768e-34
744986681.5920397,0.013325200771836652,744986681.5920397,3.4169711438812644e-34
1031721902.2067636,0.013325200771836652,1031721902.2067636,1.7815604727765581e-34
1428817601.434705,0.013325200771836652,1428817601.434705,9.288559977129276e-35
1978750023.434608,0.013325200771836652,1978750023.434608,4.842551858978473e-35
2740343939.8498983,0.013325200771836652,2740343939.8498983,2.5243996986219913e-35
3795064975.229904,0.013325200771836652,3795064975.229904,1.315713542402698e-35
5255733762.750127,0.013325200771836652,5255733762.750127,6.855041562221022e-36
7278594059.707297,0.013325200771836652,7278594059.707297,3.569135645837826e-36
10080025716.19705,0.013325200771836652,10080025716.19705,1.8558826601043012e-36
13959690237.661016,0.013325200771836652,13959690237.661016,9.62631190874886e-37
