spectrum,space
(7.548165973300167e-43+7.876342830564966e-42j),36.13243243243243
(7.616515843621521e-43+7.661847237986739e-42j),37.13333333333333
(7.70449666854136e-43+7.460636544906137e-42j),38.134234234234235
(7.745458900248274e-43+7.267454316120595e-42j),39.13513513513514
(7.7974274984098e-43+7.085457182220734e-42j),40.13603603603604
(7.856210715117883e-43+6.908160485921625e-42j),41.13693693693694
(7.918427446047268e-43+6.741058931867367e-42j),42.137837837837836
(7.97282624061605e-43+6.581486798188018e-42j),43.13873873873874
(7.996580109627573e-43+6.430896098433553e-42j),44.13963963963964
(8.051657401700366e-43+6.286858724159353e-42j),45.14054054054054
(8.075863245754614e-43+6.148274745647566e-42j),46.141441441441444
(8.13267678887761e-43+6.015742766594899e-42j),47.142342342342346
(8.158084856110886e-43+5.890578549541868e-42j),48.14324324324324
(8.181524035842891e-43+5.766848738209983e-42j),49.14414414414414
(8.215640718117013e-43+5.651071231022714e-42j),50.145045045045045
(8.254415713840749e-43+5.5371759056742e-42j),51.14594594594595
(8.235669210657107e-43+5.425948758071612e-42j),52.14684684684685
(8.294988248523375e-43+5.324043199804856e-42j),53.14774774774775
(8.333521418531034e-43+5.2224527784792836e-42j),54.14864864864865
(8.332776128213982e-43+5.1277350959844775e-42j),55.14954954954955
(8.363638756056352e-43+5.0307375057730497e-42j),56.15045045045045
(8.383501966357382e-43+4.9427032529975116e-42j),57.15135135135135
(8.421220546034001e-43+4.8557527288597303e-42j),58.152252252252254
(8.42821858264801e-43+4.7708927558464865e-42j),59.153153153153156
(8.448422023116609e-43+4.692885845255036e-42j),60.15405405405406
(8.468554510031946e-43+4.610600624291703e-42j),61.15495495495495
(8.481781709061287e-43+4.5365130079556625e-42j),62.155855855855854
(8.483309572735067e-43+4.463208271337095e-42j),63.15675675675676
(8.449923317099562e-43+4.38561774340788e-42j),64.15765765765765
(8.504490430462376e-43+4.3210379859601886e-42j),65.15855855855855
(8.523257135026535e-43+4.2542215891995165e-42j),66.15945945945946
(8.546388866383139e-43+4.1889642835088586e-42j),67.16036036036036
(8.596602476987005e-43+4.1267297283358376e-42j),68.16126126126126
(8.559900615742896e-43+4.063486987885464e-42j),69.16216216216216
(8.559893447412946e-43+4.0032645573087177e-42j),70.16306306306306
